name,position,team,opponent_team,was_home,GW,value,minutes,total_points,form_points,form_minutes,form_ict,last_gw_points,season_form_points,opp_goals_conceded_form,opp_goals_scored_form,fixture_difficulty
Aaron Ramsdale,GK,Sheffield Utd,7,True,15,47,90,2,1.75,90.0,2.2750000000000004,2.0,2.2857142857142856,0.5,1.5,4
Aaron Ramsdale,GK,Sheffield Utd,4,False,16,47,90,2,2.0,90.0,2.075,2.0,2.2666666666666666,0.5,0.75,2
Aaron Ramsdale,GK,Sheffield Utd,6,False,17,47,90,1,2.0,90.0,1.8750000000000002,2.0,2.25,3.0,0.5,3
Aaron Ramsdale,GK,Sheffield Utd,14,True,18,47,90,9,1.75,90.0,1.6,1.0,2.176470588235294,1.25,0.5,2
Aaron Ramsdale,GK,Sheffield Utd,17,True,19,47,90,1,3.5,90.0,1.5750000000000002,9.0,2.5555555555555554,1.0,1.25,3
Aaron Ramsdale,GK,Sheffield Utd,13,False,20,46,90,3,3.25,90.0,1.5500000000000003,1.0,2.473684210526316,0.25,1.0,4
Aaron Ramsdale,GK,Sheffield Utd,12,False,21,46,90,3,3.5,90.0,1.6250000000000002,3.0,2.5,0.25,3.25,5
Aaron Ramsdale,GK,Sheffield Utd,18,True,22,46,90,3,4.0,90.0,1.9750000000000003,3.0,2.5238095238095237,3.25,1.25,2
Aaron Ramsdale,GK,Sheffield Utd,5,True,23,46,90,1,2.5,90.0,2.1500000000000004,3.0,2.5454545454545454,0.0,1.0,4
Aaron Ramsdale,GK,Sheffield Utd,19,False,24,46,90,3,2.5,90.0,1.9000000000000004,1.0,2.4782608695652173,1.5,1.75,4
Aaron Ramsdale,GK,Sheffield Utd,8,False,25,46,90,3,2.5,90.0,2.35,3.0,2.5,1.0,1.0,2
Aaron Ramsdale,GK,Sheffield Utd,11,True,26,46,90,3,2.5,90.0,2.1500000000000004,3.0,2.52,2.5,0.5,4
Aaron Ramsdale,GK,Sheffield Utd,2,True,26,46,90,10,2.5,90.0,2.9000000000000004,3.0,2.5384615384615383,1.25,0.75,2
Aaron Ramsdale,GK,Sheffield Utd,16,True,27,46,90,2,4.75,90.0,3.6750000000000003,10.0,2.814814814814815,1.75,1.0,2
Aaron Ramsdale,GK,Sheffield Utd,9,False,28,46,90,1,4.5,90.0,3.575,2.0,2.7857142857142856,1.5,2.0,4
Aaron Ramsdale,GK,Sheffield Utd,10,False,30,46,90,4,4.0,90.0,4.075,1.0,2.7241379310344827,1.0,0.5,3
Aaron Ramsdale,GK,Sheffield Utd,1,True,31,46,90,1,4.25,90.0,3.8500000000000005,4.0,2.7666666666666666,2.0,1.5,3
Aaron Ramsdale,GK,Sheffield Utd,20,False,32,46,90,3,2.0,90.0,3.5000000000000004,1.0,2.7096774193548385,1.0,0.75,3
Aaron Ramsdale,GK,Sheffield Utd,3,True,33,46,90,9,2.25,90.0,3.2000000000000006,3.0,2.71875,0.5,1.0,3
Aaron Ramsdale,GK,Sheffield Utd,17,False,34,46,90,2,4.25,90.0,2.9000000000000004,9.0,2.909090909090909,1.75,1.75,4
Aaron Ramsdale,GK,Sheffield Utd,6,True,35,46,90,3,3.75,90.0,2.5000000000000004,2.0,2.8823529411764706,2.25,0.75,2
Aaron Ramsdale,GK,Sheffield Utd,7,False,36,46,90,10,4.25,90.0,3.3500000000000005,3.0,2.8857142857142857,1.0,1.25,3
Aaron Ramsdale,GK,Sheffield Utd,14,False,37,46,90,3,6.0,90.0,3.95,10.0,3.0833333333333335,2.25,2.0,2
Aaron Ramsdale,GK,Sheffield Utd,4,True,38,46,90,9,4.5,90.0,3.9000000000000004,3.0,3.081081081081081,2.25,0.75,2
Aaron Wan-Bissaka,DEF,Man Utd,6,True,2,55,0,0,,,,,,0.0,1.0,2
Aaron Wan-Bissaka,DEF,Man Utd,3,False,3,55,90,1,0.0,0.0,0.0,0.0,0.0,1.5,2.0,3
Aaron Wan-Bissaka,DEF,Man Utd,17,True,4,54,90,-1,0.5,45.0,0.85,1.0,0.5,1.3333333333333333,2.0,3
Aaron Wan-Bissaka,DEF,Man Utd,14,False,5,54,90,8,0.0,60.0,1.6333333333333335,-1.0,0.0,1.25,1.5,2
Aaron Wan-Bissaka,DEF,Man Utd,5,True,6,54,90,6,2.0,67.5,4.175000000000001,8.0,2.0,2.0,2.5,4
Aaron Wan-Bissaka,DEF,Man Utd,1,True,7,54,90,2,3.5,90.0,4.7,6.0,2.8,1.5,0.75,3
Aaron Wan-Bissaka,DEF,Man Utd,7,False,8,54,90,2,3.75,90.0,4.550000000000001,2.0,2.6666666666666665,2.0,1.75,3
Aaron Wan-Bissaka,DEF,Man Utd,18,True,9,54,90,8,4.5,90.0,4.075,2.0,2.5714285714285716,1.0,0.25,2
Aaron Wan-Bissaka,DEF,Man Utd,16,False,10,54,90,1,4.5,90.0,1.975,8.0,3.25,1.0,2.25,2
Aaron Wan-Bissaka,DEF,Man Utd,19,False,11,54,90,2,3.25,90.0,2.325,1.0,3.0,0.75,1.25,4
Aaron Wan-Bissaka,DEF,Man Utd,12,True,12,54,90,6,3.25,90.0,3.125,2.0,2.9,0.75,2.0,4
Aaron Wan-Bissaka,DEF,Man Utd,15,False,13,54,90,1,4.25,90.0,3.35,6.0,3.1818181818181817,1.75,0.25,2
Aaron Wan-Bissaka,DEF,Man Utd,10,True,14,54,90,1,2.5,90.0,3.025,1.0,3.0,1.75,2.0,3
Aaron Wan-Bissaka,DEF,Man Utd,9,False,15,54,0,0,2.5,90.0,3.025,1.0,2.8461538461538463,0.75,1.75,4
Aaron Wan-Bissaka,DEF,Man Utd,20,True,16,54,90,6,2.0,67.5,1.9500000000000002,0.0,2.642857142857143,1.25,1.0,2
Aaron Wan-Bissaka,DEF,Man Utd,2,True,17,53,90,6,2.0,67.5,1.8,6.0,2.8666666666666667,0.25,1.75,2
